Index,Medium,Count
176,Salted paper print from a glass-plate negative,2
177,"Gelatin silver print
",2
178,Black and white instant prints (Polaroids),2
179,Gelatin silver print (resin-coated),2
180,"Gelatin silver print, printed c. 1977",2
181,"Two color instant prints (Polacolor, spliced)",2
182,Dye transfer prints,2
183,Inkless intaglio,2
184,Portfolio of ten offset lithographs,2
185,Cyanotype,2
186,"Dye transfer print, printed 1981",2
187,Tri-color carbro print,2
188,Twenty photogravures,1
189,Fourteen gelatin silver prints and one watercolor on paper,1
190,Photomontage and typed text on paper,1
191,Chromogenic print from a digitally altered negative,1
192,Gelatin silver print and ink on Mylar,1
193,"Gelatin silver print, printed 1998",1
194,Gelatin silver print (with hand-applied ink marker),1
195,21 gelatin silver prints,1
196,Sixteen chromogenic color prints,1
197,Seven gelatin silver prints,1
198,"Chromogenic print, printed March 1995",1
199,Four silver dye bleach prints,1
200,"Albumen silver print from a wet-collodion glass negative, print date 1881",1
201,Thirty-five gelatin silver prints,1
202,Master negative,1
203,Mediabrome print,1
204,Color instant prints,1
205,Gelatin silver print (treated with watercolor),1
206,"Gelatin silver print, printed 1970 by James Dow",1
207,"Gelatin silver print, printed c. 1936",1
208,Gelatin silver print (contact),1
209,Offset lithography,1
210,"Chromogenic print, printed 1983",1
211,Fifteen gelatin silver prints,1
212,Album of albumen silver prints from a wet-collodion glass negative,1
213,Gelatin silver print (Kodalith),1
214,Color photocopies (Xerox),1
215,"Silver dye bleach print , printed 1984",1
216,"Collage on gelatin silver print (photogravure, lithograph, chromolithograph and gelatin silver print)",1
217,Albumen silver print from a wet collodion negative,1
218,Albumen silver prints pasted on letter press,1
219,"Gelatin silver print, printed 1954",1
220,Monoprint (silkscreen over photographic halftone),1
221,"Chromogenic print, printed November 1991",1
222,Two chronophotographic albumen silver prints,1
223,Chromogenic print and blueprint,1
224,Book of nine chromogenic color prints (Ektacolor),1
225,Three black and white instant prints (Polaroids) fixed to pencil drawing,1
226,Acrylic on aluminum,1
227,Gelatin silver print (with hand-applied acrylic paint),1
228,"Black and white instant print (Polaroid), printed 1976",1
229,Photomontage (chromogenic print),1
230,"Gelatin silver print, printed February 1985",1
231,Book containing forty portrait photographs,1
232,Carbon print from an enlarged negative,1
233,Collage of black and white instant prints attached to composite board with staples,1
234,"Gelatin silver print, printed c. 1975",1
235,"Chromogenic print, printed 1981",1
236,Mixed media assemblage,1
237,"Chromogenic print, printed October 1992",1
238,Gelatin silver print (photomontage),1
239,"Gelatin silver print (toned, with hand-applied acrylic paint)",1
240,Gelatin silver print with oil pencil in mylar overlay machine stitched to mount with artist's hair,1
241,Printing-out-paper print,1
242,"Gelatin silver print, printed c. 1930",1
243,Composite printing,1
244,Album of twenty seven albumen silver prints from wet-collodion negatives,1
245,Albumen silver print from a wet-collodion glass negatives,1
246,"Gelatin silver print, printed c. 1960",1
247,"Gelatin silver print, printed 1937",1
248,"Gelatin silver print, printed 1949",1
249,Tintype,1
250,"Gelatin silver print, printed c. 1989",1
251,"Gelatin silver print, printed c. 1995",1
252,"Chromogenic print, printed 1991",1
253,Albumen silver print by an unknown photographer with shell and pencil attached,1
254,"Albumen silver and gelatin silver prints with applied color, graphite, and human hair shaped with petroleum jelly and attached with glue and nail polish",1
255,Ink print from an etched daguerreotype (Fizeau process),1
256,"Chromogenic print, printed April 1992",1
257,"Gelatin silver print, printed c. 1940",1
258,"Photogravure from Camera Work, June 1917",1
259,"Gelatin silver print, printed 1994",1
260,Gelatin silver print (with hand-applied marker),1
